Name,Thresholds
bachelor_degree_density_2014_2018,"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39"
avg_precipitation_for_county,"3,4,5"
avg_temp_for_county,"50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71"
population_density_on_land_2010,"10.1, 11.3, 12.5, 14.0, 16.2, 17.7, 19.1, 20.3, 21.1, 22.0, 24.0, 25.8, 26.9, 27.8, 29.8, 31.0, 32.2, 34.0, 35.1, 37.3, 39.0, 41.8, 44.0, 46.0, 47.6, 48.9, 50.4, 52.0, 53.0, 54.9, 56.4, 58.0, 60.1, 63.0, 64.3, 66.8, 68.3, 70.3, 72.8, 75.0, 77.7, 80.0, 82.4, 84.1, 87.7, 91.0, 94.0, 97.8, 100.3, 103.0, 106.0, 110.0, 112.0, 115.0, 118.0, 122.4, 126.0, 129.6, 133.0, 137.0, 140.0, 143.0, 148.0, 153.0, 156.0, 161.0, 164.7, 168.0, 173.4, 178.0, 182.0, 188.0, 193.0, 201.0, 208.0, 211.0, 215.0, 221.0, 227.0, 230.8, 237.0, 242.8, 248.0, 253.8, 261.0, 267.0, 274.0, 282.0, 289.8, 295.0, 303.0, 307.0, 316.0, 322.0, 327.0, 334.0, 339.0, 345.0, 355.4, 362.0, 369.0, 373.0, 378.0, 386.0, 393.0, 409.0, 414.4
"
household_density_on_land_2010,"4.3, 4.6, 5.1, 5.6, 6.1, 6.6, 7.6, 8.0, 8.8, 9.2, 9.7, 10.0, 10.4, 11.1, 11.6, 12.1, 13.4, 14.0, 14.5, 14.9, 15.3, 16.3, 17.0, 17.9, 18.5, 18.8, 19.3, 19.6, 19.9, 20.2, 21.0, 21.3, 22.1, 22.5, 22.9, 23.4, 24.2, 24.6, 25.9, 26.6, 27.1, 28.0, 29.0, 29.4, 29.8, 30.3, 30.8, 32.0, 32.7, 33.3, 34.0, 35.0, 36.3, 37.3, 38.1, 39.1, 40.6, 41.4, 42.9, 43.6, 45.0, 46.4, 47.0, 48.8, 49.7, 51.0, 52.0, 54.7, 56.1, 57.6, 59.0, 60.9, 62.0, 64.0, 66.0, 68.0, 69.0, 72.0, 73.0, 75.0, 77.0, 78.2, 80.0, 83.0, 86.0, 87.2, 90.4, 93.0, 94.0, 97.0, 99.3, 102.0, 103.5, 106.0, 108.0, 109.6, 111.0, 112.0, 115.0, 117.0, 118.7, 121.0, 124.0, 127.0, 130.0, 133.0, 135.0, 138.0, 139.7, 142.0, 145.0, 147.0, 150.0, 153.0, 155.3, 158.0, 162.0, 164.0, 167.0, 170.0, 176.0, 178.0"
UnempRate2018,"4,5,6"
PctEmpAgriculture,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24"
PctEmpMining,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
PctEmpConstruction,"5,6,7,8,9,10,11"
PctEmpManufacturing,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24"
PctEmpTrade,"12,13,14,15,16,17"
PctEmpTrans,"4,5,6,7,8,9,10"
PctEmpInformation,"1,2,3"
PctEmpFIRE,"3,4,5,6,7"
PctEmpServices,"39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55"
PctEmpGovt,"4,5,6,7,8,9,10,11,12,13,14,15"
medianHouseHoldIncome,"44500, 44662, 44774, 44913, 45064, 45226, 45384, 45564, 45718, 45858, 46032, 46169, 46377, 46560, 46681, 46851, 46977, 47141, 47292, 47449, 47587, 47654, 47775, 47907, 48056, 48189, 48341, 48513, 48656, 48846, 48994, 49236, 49446, 49588, 49745, 49875, 50022, 50210, 50387, 50571, 50716, 50802, 50980, 51103, 51276, 51391, 51488, 51691, 51805, 51955, 52132, 52284, 52504, 52685, 52827, 53045, 53192, 53386, 53596, 53806, 54102, 54378, 54546, 54787, 55067, 55282, 55460, 55578, 55775, 55981, 56148, 56346, 56540, 56838, 57112, 57399, 57742, 58045, 58384, 58728, 58928, 59341, 59594, 59956, 60177, 60521, 60759, 61124, 61320, 61591, 61971, 62499, 62937, 63279, 63624, 64177, 65005, 65504, 65956, 66813, 67525, 68166, 69318, 70418, 70829, 72385"
povertyRate,"12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31"
covid_cases_density,"0.222850507, 0.223591378, 0.224519137, 0.225609459, 0.226515729, 0.227399467, 0.228311916, 0.228972111, 0.230015957, 0.230841498, 0.23167481, 0.232399803, 0.233219178, 0.234086242, 0.23469695, 0.235376229, 0.236006616, 0.23712219, 0.237746956, 0.23880597, 0.239329634, 0.240076529, 0.241016769, 0.241638225, 0.242424396, 0.243257261, 0.244319143, 0.245509911, 0.246383685, 0.247025458, 0.247889726, 0.248643333, 0.249349046, 0.249941671, 0.250821648, 0.251371571, 0.251934889, 0.253035978, 0.253674411, 0.254582573, 0.255667207, 0.256449893, 0.257277515, 0.257992384, 0.25874818, 0.259793425, 0.260377358, 0.261187034, 0.262077376, 0.262706675, 0.263157895, 0.263821217, 0.264616011, 0.265238503, 0.266116511, 0.266935359, 0.267896807, 0.268653622, 0.269607039, 0.270300489, 0.271217525, 0.271962875, 0.272803772, 0.273573786, 0.274472773, 0.275196138, 0.276297561, 0.277181688, 0.278170159, 0.279409434, 0.280523974, 0.281129428, 0.281935107, 0.283032656, 0.284221208, 0.285225328, 0.286492361, 0.28747961, 0.288286235, 0.289384508, 0.290317888, 0.291992188, 0.293229039, 0.294333748, 0.295347284, 0.296453608, 0.297472991, 0.298952171, 0.299735826, 0.301170771, 0.303117591, 0.304980167, 0.306333864, 0.308926554, 0.310303987, 0.31192561, 0.315241272, 0.317729931, 0.319344164, 0.321557218, 0.324444444"
covid_death_density,"0.002874389, 0.002903109, 0.002935501, 0.002964904, 0.002995287, 0.003021039, 0.003053662, 0.003077627, 0.003105138, 0.003131578, 0.003145906, 0.003171726, 0.003190132, 0.003224428, 0.003250813, 0.003281451, 0.003302608, 0.003337062, 0.003364295, 0.003389831, 0.003411346, 0.003438651, 0.003464261, 0.003504043, 0.003524738, 0.003550446, 0.003576396, 0.003602393, 0.003630643, 0.003651638, 0.003678315, 0.003707306, 0.003739146, 0.003758283, 0.003779619, 0.003798427, 0.003819905, 0.003848431, 0.003874913, 0.003893618, 0.003913347, 0.003935986, 0.003954545, 0.003977643, 0.004002349, 0.004029322, 0.004056047, 0.004081633, 0.004110682, 0.004146903, 0.004179693, 0.004203278, 0.004231975, 0.004256613, 0.004283441, 0.004311961, 0.004333609, 0.00436019, 0.004385965, 0.00442083, 0.004444215, 0.00446853, 0.004495108, 0.004524887, 0.004548855, 0.004571027, 0.00462282, 0.004653622, 0.004680593, 0.004704549, 0.004742558, 0.004770306, 0.004797441, 0.004842029, 0.004872738, 0.004896072, 0.004928806, 0.004963066, 0.005007935, 0.005047162, 0.005094216, 0.005126418, 0.005155444, 0.005209005, 0.005263158, 0.005286265, 0.005345161, 0.005385061, 0.005430673, 0.005472455, 0.005522088, 0.005567452, 0.005611709, 0.005696091, 0.005746416, 0.005816515, 0.005902871, 0.005971183, 0.006046297, 0.006167449, 0.006290116, 0.006373656, 0.006557377, 0.006709213, 0.006880734"
