Interestingness,Thresholds1,Thresholds2
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9996418338108882,0.057287279,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9996418338108882,0.057287279,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
0.9998209169054442,0.033258873,22679
